City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Del Rio,US,84.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
183,North Bend,US,77.94,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
185,Tessalit,ML,84.99,overcast clouds,20.1986,1.0114,
187,Tautira,PF,77.02,moderate rain,-17.7333,-149.15,Pension Oaoa
190,Ixtapa,MX,86.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
192,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
194,Lakes Entrance,AU,72.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
196,Ambanja,MG,73.71,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
200,Guerrero Negro,MX,84.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
203,Nong Kung Si,TH,71.44,overcast clouds,16.65,103.3,บ้าน พี่บิ๊ก
206,Boca Do Acre,BR,85.51,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
210,Port Macquarie,AU,77.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
212,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
213,Padang,ID,78.21,overcast clouds,-0.9492,100.3543,Mercure Padang
217,Qandala,SO,82.49,clear sky,11.472,49.8728,
218,Bardiyah,LY,70.68,broken clouds,31.7561,25.0865,بورتو بردية
220,Tevaitoa,PF,78.48,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
222,Manati,PR,87.39,few clouds,18.4275,-66.4921,Manati World Point Inn
223,Kapra,IN,72.3,overcast clouds,17.4846,78.561,Hotel Swagath Grand - Dr AS Rao Nagar
226,San Policarpo,PH,79.2,light rain,12.1791,125.5072,Agapita M. Nicart
229,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Hotel Central
233,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
234,Jaisalmer,IN,76.96,clear sky,26.9147,70.9181,Hotel Fifu
240,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
242,Ambilobe,MG,73.22,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
243,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
244,Mahibadhoo,MV,81.88,few clouds,3.7833,72.9667,Omadhoo Inn
246,Jiazi,CN,72.68,overcast clouds,22.8779,116.067,Hotel Jin Hao
247,Pontes E Lacerda,BR,74.05,overcast clouds,-15.2261,-59.3353,Hotel Bressan
248,Yarada,IN,82.72,mist,17.65,83.2667,Vishranti
253,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
257,Bandarbeyla,SO,77.23,clear sky,9.4942,50.8122,JABIR HOTEL
262,Dori,BF,92.39,broken clouds,14.0354,-0.0345,Hôtel Liptako
264,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
267,Kandrian,PG,79.23,light rain,-6.2167,149.55,Kandrian Station
269,Piacabucu,BR,76.93,broken clouds,-10.4056,-36.4344,Piaçabuçu News
270,Sao Felix Do Xingu,BR,85.53,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
271,Guadalupe Y Calvo,MX,71.6,clear sky,26.1,-106.9667,Hotel Pizarro
276,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
277,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
280,San Patricio,US,86.02,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
281,Chake Chake,TZ,75.81,overcast clouds,-5.2459,39.7666,Hotel Archipelago
282,Tanah Merah,MY,74.32,heavy intensity rain,5.8,102.15,Humaira Hotel
284,Arraial Do Cabo,BR,73.26,light rain,-22.9661,-42.0278,Pousada Porto Praia
285,Santana Do Livramento,BR,76.87,clear sky,-30.8908,-55.5328,Hotel Emirates
292,Flinders,AU,78.08,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
296,Labuhan,ID,79.39,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
297,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
298,Andrews,US,72.66,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
301,Byron Bay,AU,75.06,light rain,-28.65,153.6167,Backpackers Inn on the Beach
302,Sapa,PH,81.86,overcast clouds,5.1544,120.3241,
306,Teahupoo,PF,71.56,moderate rain,-17.8333,-149.2667,Vanira Lodge
313,Iralaya,HN,87.89,scattered clouds,15.0,-83.2333,Iglesia morava renovada
317,Lompoc,US,91.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
319,Cabo San Lucas,MX,89.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
322,Aitape,PG,77.81,broken clouds,-3.1374,142.3475,
324,Sembe,CG,71.02,broken clouds,1.6481,14.5806,
326,Marigot,MF,82.74,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
327,Umm Kaddadah,SD,84.02,scattered clouds,13.6017,26.6876,
328,Xapuri,BR,81.52,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
329,Cabanas,CU,86.56,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
330,Mataram,ID,77.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
333,Samana,DO,85.96,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
334,Viedma,AR,89.02,broken clouds,-40.8135,-62.9967,Hotel Cristal
335,Tera,NE,92.12,few clouds,14.0078,0.7531,Hotel Dar es salam
337,Saint-Joseph,RE,71.98,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
338,Black River,JM,86.99,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
342,Vazante,BR,82.58,broken clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
346,Fortuna,US,73.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
347,Boffa,GN,74.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
349,Ouallam,NE,92.32,broken clouds,14.3188,2.0866,
350,Hambantota,LK,78.69,overcast clouds,6.1241,81.1185,Bungalow 63
352,Alice Springs,AU,72.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
353,Caravelas,BR,74.91,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
355,Port Said,EG,76.01,overcast clouds,31.2565,32.2841,Aracan Hotel
358,Matara,LK,75.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
362,Valparaiso,CL,73.04,clear sky,-33.0393,-71.6273,Hotel Ultramar
