City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Thompson,CA,2021-10-26 03:35:50,55.7435,-97.8558,35.76,80,75,3.44
91,Dikson,RU,2021-10-26 03:35:50,73.5069,80.5464,13.55,85,100,14.45
92,Albany,US,2021-10-26 03:35:50,42.6001,-73.9662,54.75,90,100,3.09
93,Vila Franca Do Campo,PT,2021-10-26 03:32:40,37.7167,-25.4333,68.41,83,16,8.25
94,Tiznit,MA,2021-10-26 03:35:51,29.5833,-9.5,57.63,87,0,1.32
95,Clyde River,CA,2021-10-26 03:33:20,70.4692,-68.5914,19.2,81,66,7.99
96,Tambura,SS,2021-10-26 03:35:51,5.6,27.4667,69.42,85,100,3.42
97,Ahipara,NZ,2021-10-26 03:35:52,-35.1667,173.1667,67.35,74,99,7.38
98,Qaanaaq,GL,2021-10-26 03:35:52,77.484,-69.3632,6.71,72,100,13.15
99,Dunda,TZ,2021-10-26 03:35:53,-8.1167,34.25,66.36,56,79,3.33
100,Colon,PA,2021-10-26 03:35:53,9.3592,-79.9014,81.36,88,88,8.99
101,Guerrero Negro,MX,2021-10-26 03:35:54,27.9769,-114.0611,67.15,73,45,18.95
102,Brae,GB,2021-10-26 03:35:54,60.3964,-1.353,48.11,85,65,14.52
103,Morgan City,US,2021-10-26 03:35:54,29.6994,-91.2068,75.0,87,12,4.27
104,Mumford,GH,2021-10-26 03:35:55,5.2618,-0.759,77.32,89,100,9.62
105,Bima,ID,2021-10-26 03:35:55,-8.4667,118.7167,96.1,43,100,3.36
106,Rahon,IN,2021-10-26 03:35:55,31.05,76.1167,70.0,52,0,5.26
107,Linxia,CN,2021-10-26 03:35:56,35.6003,103.2064,39.56,89,100,3.15
108,Chapais,CA,2021-10-26 03:32:46,49.7834,-74.8492,33.58,89,100,5.95
109,Bairiki,KI,2021-10-26 03:35:56,1.3292,172.9752,86.0,70,20,13.8
110,Saint-Philippe,RE,2021-10-26 03:35:57,-21.3585,55.7679,75.11,79,40,14.36
111,Bozdar,PK,2021-10-26 03:35:57,27.1828,68.636,80.71,33,0,5.17
112,Vaini,TO,2021-10-26 03:35:58,-21.2,-175.2,78.96,78,20,10.36
113,Pandamatenga,BW,2021-10-26 03:35:58,-18.5278,25.627,75.78,45,95,12.08
114,Saint George,US,2021-10-26 03:35:59,37.1041,-113.5841,63.19,69,75,15.99
115,Juneau,US,2021-10-26 03:35:16,58.3019,-134.4197,39.85,97,90,0.0
116,Khatanga,RU,2021-10-26 03:35:59,71.9667,102.5,4.96,95,100,3.87
117,Chuy,UY,2021-10-26 03:36:00,-33.6971,-53.4616,59.04,76,0,5.79
118,Teknaf,BD,2021-10-26 03:36:00,20.8624,92.3058,81.45,75,96,1.59
119,Nikolskoye,RU,2021-10-26 03:36:01,59.7035,30.7861,43.39,88,100,9.66
120,Port Keats,AU,2021-10-26 03:36:01,-14.25,129.55,91.71,55,5,11.39
121,Mehamn,NO,2021-10-26 03:36:01,71.0357,27.8492,32.18,86,40,14.97
122,Hamilton,US,2021-10-26 03:32:51,39.1834,-84.5333,52.65,91,90,4.0
123,Grand Gaube,MU,2021-10-26 03:36:02,-20.0064,57.6608,75.38,73,32,8.99
124,Ilulissat,GL,2021-10-26 03:36:03,69.2167,-51.1,8.62,66,0,3.44
125,Klaksvik,FO,2021-10-26 03:36:03,62.2266,-6.589,43.72,77,96,8.03
126,Lannion,FR,2021-10-26 03:36:04,48.75,-3.4167,55.65,94,90,11.5
127,Datong,CN,2021-10-26 03:36:04,40.0936,113.2914,51.73,25,0,12.8
128,Broken Hill,AU,2021-10-26 03:32:21,-31.95,141.4333,76.71,10,1,10.36
129,Yankton,US,2021-10-26 03:36:05,42.8711,-97.3973,46.65,76,1,10.36
130,Rossland,CA,2021-10-26 03:36:06,49.0831,-117.8022,41.32,74,99,1.01
131,Oyama,JP,2021-10-26 03:36:06,36.3,139.8,68.04,57,56,9.66
132,Nanortalik,GL,2021-10-26 03:36:06,60.1432,-45.2371,35.71,64,90,12.68
133,Rio Grande,BR,2021-10-26 03:33:22,-32.035,-52.0986,63.28,78,0,8.7
134,Kavieng,PG,2021-10-26 03:36:07,-2.5744,150.7967,83.44,70,67,5.32
135,Zuwarah,LY,2021-10-26 03:36:07,32.9312,12.082,69.93,75,13,15.05
136,Guajara,BR,2021-10-26 03:36:08,-2.9667,-57.6667,76.5,83,79,2.33
137,Coquimbo,CL,2021-10-26 03:36:08,-29.9533,-71.3436,58.73,88,90,8.05
138,Saint-Augustin,CA,2021-10-26 03:36:09,51.226,-58.6502,36.86,79,32,9.22
139,Ndjole,GA,2021-10-26 03:36:09,-0.1783,10.7649,72.81,99,100,1.03
140,Dingle,PH,2021-10-26 03:36:10,10.9995,122.6711,85.01,73,99,10.11
141,Barrow,US,2021-10-26 03:36:10,71.2906,-156.7887,24.82,86,90,12.66
142,Plettenberg Bay,ZA,2021-10-26 03:36:11,-34.0527,23.3716,57.6,83,83,6.51
143,Tuktoyaktuk,CA,2021-10-26 03:36:11,69.4541,-133.0374,28.4,100,90,3.44
144,Berlevag,NO,2021-10-26 03:36:12,70.8578,29.0864,32.0,87,100,24.25
145,Tura,IN,2021-10-26 03:36:12,25.5198,90.2201,78.73,65,0,0.87
146,Palmer,US,2021-10-26 03:36:12,42.1584,-72.3287,52.21,85,90,1.01
